Player,Position,Country,Shirt,Age,Height,Market value 
Andoni Iraola,Coach,Spain,,43,,
Djordje Petrovic,GK,Serbia,1,25,,‌
Will Dennis,GK,England,40,25,,‌
Julian Araujo,RB,Mexico,2,24,,‌
Adam Smith,RB,England,15,34,,‌
Alex Jimenez,"RB, RW, LW, RM, RWB, LB",Spain,20,20,,‌
James Hill,"RB, CB",England,23,23,,‌
Owen Bevan,CB,Wales,,21,,‌
Marcos Senesi,CB,Argentina,5,28,,‌
Bafodé Diakité,CB,France,18,24,,‌
Veljko Milosavljevic,CB,Serbia,44,18,,‌
Matai Akinmboni,CB,United States,45,18,,‌
Julio Soler,LB,Argentina,6,20,,‌
Lewis Cook,"DM, RB",England,4,28,,‌
Alex Scott,"DM, AM",England,8,22,,‌
Ryan Christie,"DM, LW, AM, RW",Scotland,10,30,,‌
Tyler Adams,DM,United States,12,26,,‌
Adrien Truffert,"LM, LB, LWB",France,3,23,,‌
Justin Kluivert,"AM, LW",Netherlands,19,26,,‌
Amine Adli,"AM, ST, RW",Morocco,21,25,,‌
Marcus Tavernier,"AM, LW, RW",England,16,26,,‌
David Brooks,"RW, LW, AM, DM",Wales,7,28,,‌
Ben Gannon Doak,RW,Scotland,11,19,,‌
Antoine Semenyo,"LW, RW, ST",Ghana,24,25,,‌
Remy Rees-Dottin,Attacker,England,50,19,,‌
Evanilson,ST,Brazil,9,25,,‌
Eli Junior Kroupi,"ST, LW, LM",France,22,19,,‌
Enes Ünal,ST,Türkiye,26,28,,‌
