Player,Position,Country,Shirt,Age,Height,Market value 
Keith Andrews,Coach,Ireland,,45,,
Ellery Balcombe,GK,England,,25,,‌
Julian Eyestone,GK,United States,,19,,‌
Caoimhin Kelleher,GK,Ireland,1,26,,‌
Hákon Rafn Valdimarsson,GK,Iceland,12,23,,‌
Matthew Cox,GK,England,13,22,,‌
Kristoffer Vassbakk Ajer,"RB, CB, LB",Norway,20,27,,‌
Michael Kayode,"RB, RWB",Italy,33,21,,‌
Sepp van den Berg,"CB, RB, LB",Netherlands,4,23,,‌
Ethan Pinnock,CB,Jamaica,5,32,,‌
Nathan Collins,CB,Ireland,22,24,,‌
Benjamin Arthur,CB,England,43,19,,
Rico Henry,LB,England,3,28,,‌
Keane Lewis-Potter,"LB, LW, LWB, LM",England,23,24,,‌
Aaron Hickey,RWB,Scotland,2,23,,‌
Frank Onyeka,"DM, CM, RW",Nigeria,15,27,,‌
Yehor Yarmoliuk,"DM, CM",Ukraine,18,21,,‌
Yunus Emre Konak,DM,Türkiye,26,19,,‌
Vitaly Janelt,"DM, CM",Germany,27,27,,‌
Jordan Henderson,"CM, DM",England,6,35,,‌
Mathias Jensen,"CM, DM",Denmark,8,29,,‌
Antoni Milambo,"CM, AM",Netherlands,17,20,,‌
Edmond-Paris Maghoma,CM,England,32,24,,‌
Fabio Carvalho,"AM, ST, RM",Portugal,14,23,,‌
Mikkel Damsgaard,"AM, CM, LW, LM",Denmark,24,25,,‌
Myles Peart-Harris,"RW, LW, CM, AM",England,25,23,,‌
Kevin Schade,"LW, ST",Germany,7,23,,‌
Reiss NelsonIllness - DoubtfulicInjury,LW,England,11,25,,‌
Dango Ouattara,"LW, ST, RW, RM",Burkina Faso,19,23,,‌
Gustavo Gomes,LW,Brazil,39,19,,‌
Igor Thiago,ST,Brazil,9,24,,‌
Romelle Donovan,ST,England,45,18,,‌
