Player,Position,Country,Shirt,Age,Height,Market value 
David Moyes,Coach,Scotland,,62,,
Jordan Pickford,GK,England,1,31,,‌
Mark Travers,GK,Ireland,12,26,,‌
Tom King,GK,Wales,31,30,,‌
Harry Tyrer,GK,England,53,23,,‌
Nathan Patterson,"RB, RM",Scotland,2,23,,‌
Jake O'Brien,"RB, CB",Ireland,15,24,,‌
Seamus Coleman,RB,Ireland,23,36,,‌
Michael Keane,CB,England,5,32,,‌
James Tarkowski,CB,England,6,32,,‌
Jarrad Branthwaite,CB,England,32,23,,‌
Vitaliy Mykolenko,LB,Ukraine,16,26,,‌
Adam Aznou,"LB, LWB",Morocco,39,19,,‌
Idrissa Gana Gueye,"DM, CM",Senegal,27,36,,‌
James Garner,"DM, LB",England,37,24,,‌
Tim Iroegbunam,"DM, CM",England,42,22,,‌
Dwight McNeil,"AM, RW, LM, LW",England,7,25,,‌
Kiernan Dewsbury-Hall,"AM, DM, CM, RW, LW",England,22,27,,‌
Carlos Alcaraz,"AM, LW, CM, RW",Argentina,24,22,,‌
Merlin RöhlHip,"AM, DM",Germany,34,23,,‌
Tyler Dibling,"RW, RM, ST, AM",England,20,19,,‌
Iliman Ndiaye,"LW, RW, LM",Senegal,10,25,,‌
Jack Grealish,"LW, AM",England,18,30,,‌
Beto,ST,Guinea-Bissau,9,27,,‌
Thierno Barry,ST,France,11,22,,‌
