Player,Position,Country,Shirt,Age,Height,Market value 
Marco Silva,Coach,Portugal,,48,,
Bernd Leno,GK,Germany,1,33,,‌
Benjamin Lecomte,GK,France,23,34,,‌
Kenny Tete,RB,Netherlands,2,29,,‌
Timothy Castagne,"RB, RWB, LB, RM, RW",Belgium,21,29,,‌
Calvin Bassey,"CB, LB",Nigeria,3,25,,‌
Joachim Andersen,CB,Denmark,5,29,,‌
Jorge Cuenca,CB,Spain,15,25,,‌
Issa Diop,CB,France,31,28,,‌
Ryan Sessegnon,"LB, RW, LWB",England,30,25,,‌
Antonee Robinson,"LB, LWB, LM",United States,33,28,,‌
Harrison Reed,DM,England,6,30,,‌
Tom Cairney,DM,Scotland,10,34,,‌
Sander Berge,"DM, CM",Norway,16,27,,‌
Sasa Lukic,"DM, CM, AM",Serbia,20,29,,‌
Joshua King,"AM, DM",England,24,18,,‌
Emile Smith Rowe,"AM, LW",England,32,25,,‌
Harry Wilson,"RW, AM, CM, DM, LW",Wales,8,28,,‌
Adama Traoré,"RW, RM",Spain,11,29,,‌
Samuel Chukwueze,RW,Nigeria,19,26,,‌
Alex Iwobi,"LW, RW, AM, DM, CM",Nigeria,17,29,,‌
Kevin,"LW, LM, AM",Brazil,22,22,,‌
Raul Jiménez,ST,Mexico,7,34,,‌
Rodrigo Muniz,ST,Brazil,9,24,,‌
Jonah Kusi-Asare,ST,Sweden,18,18,,‌
