Player,Position,Country,Shirt,Age,Height,Market value 
Arne Slot,Coach,Netherlands,,47,,
Alisson Becker,GK,Brazil,1,33,,‌
Giorgi Mamardashvili,GK,Georgia,25,25,,‌
Freddie Woodman,GK,England,28,28,,‌
Ármin Pécsi,GK,Hungary,41,20,,‌
Conor Bradley,"RB, RWB, RM",Northern Ireland,12,22,,‌
Calvin Ramsay,RB,Scotland,47,22,,‌
Joseph Gomez,CB,England,2,28,,‌
Virgil van Dijk,CB,Netherlands,4,34,,‌
Ibrahima Konaté,CB,France,5,26,,‌
Giovanni Leoni,"CB, RB",Italy,15,18,,‌
Rhys Williams,CB,England,46,24,,‌
Milos Kerkez,"LB, LWB",Hungary,6,21,,‌
Andrew Robertson,"LB, CB",Scotland,26,31,,‌
Jeremie Frimpong,"RWB, RM, RW, RB",Netherlands,30,24,,‌
Alexis Mac Allister,"DM, CM, AM",Argentina,10,26,,‌
Curtis Jones,"DM, AM, CM, RB, LW",England,17,24,,‌
Ryan Gravenberch,"DM, CM",Netherlands,38,23,,‌
Trey Nyoni,"DM, CM, AM",England,42,18,,‌
Wataru Endo,"CM, DM, CB",Japan,3,32,,‌
Stefan BajceticHam,"CM, DM",Spain,43,20,,‌
Florian Wirtz,"AM, LW, ST, RW",Germany,7,22,,‌
Dominik Szoboszlai,"AM, DM, CM, RB, LW, RW",Hungary,8,24,,‌
Mohamed Salah,RW,Egypt,11,33,,‌
Federico Chiesa,"RW, ST",Italy,14,27,,‌
Cody Gakpo,LW,Netherlands,18,26,,‌
Rio Ngumoha,LW,England,73,17,,‌
Alexander Isak,ST,Sweden,9,26,,‌
Hugo Ekitike,ST,France,22,23,,‌
