"Player","Position","Country","Shirt","Age","Height","Market value"
"Ruben Amorim","Coach","Portugal","","40","",""
"Altay Bayindir","GK","Türkiye","1","27","","‌"
"Tom Heaton","GK","England","22","39","","‌"
"Senne Lammens","GK","Belgium","31","23","","‌"
"Noussair Mazraoui","CB, RWB, RB, LB, RM, LWB","Morocco","3","27","","‌"
"Matthijs de Ligt","CB","Netherlands","4","26","","‌"
"Harry Maguire","CB","England","5","32","","‌"
"Lisandro Martinez","CB, LB","Argentina","6","27","","‌"
"Leny Yoro","CB","France","15","19","","‌"
"Luke Shaw","CB","England","23","30","","‌"
"Ayden Heaven","CB","England","26","19","","‌"
"Tyler Fredricson","CB","England","33","20","","‌"
"Tyrell Malacia","LB, LWB, LM","Netherlands","12","26","","‌"
"Diego Leon","LB","Paraguay","35","18","","‌"
"Diogo Dalot","LWB, RWB, RB, RM, LB, LM","Portugal","2","26","","‌"
"Patrick Dorgu","LWB, LB, LM, RW, RWB","Denmark","13","20","","‌"
"Casemiro","DM, CM","Brazil","18","33","","‌"
"Manuel Ugarte","DM, CM","Uruguay","25","24","","‌"
"Kobbie Mainoo","CM, DM, AM","England","37","20","","‌"
"Mason Mount","AM, ST","England","7","26","","‌"
"Bruno Fernandes","AM, CM, DM","Portugal","8","31","","‌"
"Matheus Cunha","AM, ST, LW","Brazil","10","26","","‌"
"Amad","AM, RWB, RW","Ivory Coast","16","23","","‌"
"Bryan Mbeumo","RW, AM, RM, ST","Cameroon","19","26","","‌"
"Joshua Zirkzee","ST, AM","Netherlands","11","24","","‌"
"Benjamin Sesko","ST, AM","Slovenia","30","22","","‌"
"Chido Obi","ST","Denmark","32","17","","‌"
