Player,Position,Country,Shirt,Age,Height,Market value 
Eddie Howe,Coach,England,,47,,
Nick Pope,GK,England,1,33,,‌
John Ruddy,GK,England,26,38,,‌
Mark Gillespie,GK,England,29,33,,‌
Aaron Ramsdale,GK,England,32,27,,‌
Kieran Trippier,"RB, RWB",England,2,35,,‌
Emil Krafth,"RB, RM",Sweden,17,31,,‌
Valentino Livramento,"RB, LB, LWB",England,21,22,,‌
Sven Botman,CB,Netherlands,4,25,,‌
Fabian Schär,CB,Switzerland,5,33,,‌
Jamaal Lascelles,CB,England,6,31,,‌
Malick Thiaw,CB,Germany,12,24,,‌
Daniel Burn,"CB, LB",England,33,33,,‌
Lewis Hall,"LB, LWB",England,3,21,,‌
Harrison Ashby,"LB, RB",Scotland,30,23,,‌
Alex Murphy,"LB, CB, LWB",Ireland,37,21,,‌
Joelinton,"CM, AM, LW",Brazil,7,29,,‌
Sandro Tonali,"CM, DM",Italy,8,25,,‌
Joseph Willock,"CM, LW, AM",England,28,26,,‌
Bruno Guimaraes,"CM, DM",Brazil,39,27,,‌
Lewis Miley,"CM, DM",England,67,19,,‌
Alfie Harrison,"AM, CM, RW",England,44,19,,‌
Anthony Elanga,"RW, ST, LW",Sweden,20,23,,‌
Jacob Murphy,"RW, RM, RWB",England,23,30,,‌
Anthony Gordon,"LW, ST, RW, AM, LM",England,10,24,,‌
Harvey Barnes,"LW, RW, AM",England,11,27,,‌
Jacob Ramsey,"LW, LM",England,41,24,,‌
Yoane Wissa,"ST, LW",DR Congo,9,29,,‌
William Osula,ST,Denmark,18,22,,‌
Nick Woltemade,"ST, AM",Germany,27,23,,‌
