Player,Position,Country,Shirt,Age,Height,Market value 
Mikel Arteta,Coach,Spain,,43,,
David Raya,GK,Spain,1,30,,‌
Kepa Arrizabalaga,GK,Spain,13,30,,‌
Ben White,RB,England,4,27,,‌
Jurrien Timber,"RB, LB, CB",Netherlands,12,24,,‌
William Saliba,CB,France,2,24,,‌
Cristhian Mosquera,"CB, RB",Spain,3,21,,‌
Piero Hincapié,"CB, LB",Ecuador,5,23,,‌
Gabriel,CB,Brazil,6,27,,‌
Riccardo Calafiori,"LB, CB",Italy,33,23,,‌
Myles Lewis-Skelly,LB,England,49,19,,‌
Christian Nørgaard,"DM, CM",Denmark,16,31,,‌
Martin Zubimendi,"DM, CM",Spain,36,26,,‌
Martin Ødegaard,"CM, RM",Norway,8,26,,‌
Mikel Merino,"CM, ST, DM, AM",Spain,23,29,,‌
Declan Rice,"CM, DM",England,41,26,,‌
Max Dowman,CM,England,56,15,,‌
Eberechi Eze,"AM, LW",England,10,27,,‌
Bukayo Saka,"RW, RM",England,7,24,,‌
Noni Madueke,"RW, LW",England,20,23,,‌
Ethan Nwaneri,"RW, CM, AM",England,22,18,,‌
Gabriel Martinelli,"LW, RW, LM",Brazil,11,24,,‌
Leandro Trossard,"LW, ST, RW, AM",Belgium,19,30,,‌
Gabriel Jesus,"ST, RW",Brazil,9,28,,‌
Viktor Gyökeres,ST,Sweden,14,27,,‌
Kai Havertz,"ST, AM, CM",Germany,29,26,,‌
