Player,Position,Country,Shirt,Age,Height,Market value 
Unai Emery,Coach,Spain,,53,,
Emiliano Martinez,GK,Argentina,23,33,,‌
Marco Bizot,GK,Netherlands,40,34,,‌
Rhys Oakley,GK,England,95,17,,
Matty Cash,"RB, RM, RW",Poland,2,28,,‌
Andres Garcia,RB,Spain,16,22,,‌
Victor Nilsson Lindelöf,CB,Sweden,3,31,,‌
Ezri Konsa,"CB, RB",England,4,27,,‌
Tyrone Mings,CB,England,5,32,,‌
Pau Torres,CB,Spain,14,28,,‌
Yeimar Mosquera,Defender,Colombia,59,20,,
Lino Sousa,LB,England,,20,,‌
Lucas Digne,LB,France,12,32,,‌
Ian Maatsen,LB,Netherlands,22,23,,‌
Lamare Bogarde,"DM, CB, RB",Netherlands,26,21,,‌
John McGinn,"DM, AM, LW, RW, LM, RM, CM",Scotland,7,30,,‌
Youri Tielemans,"DM, AM, CM",Belgium,8,28,,‌
Amadou Onana,"DM, CM",Belgium,24,24,,‌
Boubacar Kamara,"DM, CM, CB",France,44,25,,‌
Ross Barkley,CM,England,6,31,,‌
Harvey Elliott,"CM, RW, AM",England,9,22,,‌
Emiliano Buendia,"AM, LW, LM",Argentina,10,28,,‌
Jamaldeen Jimoh,AM,England,20,18,,‌
Morgan Rogers,"AM, RW, LW",England,27,23,,‌
Evann Guessand,"AM, RW, ST, LW",Ivory Coast,29,24,,‌
Donyell Malen,"RW, ST",Netherlands,17,26,,‌
Jadon Sancho,"LW, RW",England,19,25,,‌
Ollie Watkins,ST,England,11,29,,‌
