Player,Position,Country,Shirt,Age,Height,Market value 
Fabian Hürzeler,Coach,Germany,,32,,
Bart Verbruggen,GK,Netherlands,1,23,,‌
Jason Steele,GK,England,23,35,,‌
Thomas McGill,GK,Canada,38,25,,‌
Mats Wieffer,"RB, DM",Netherlands,27,25,,‌
Joel Veltman,RB,Netherlands,34,33,,‌
Adam Webster,CB,England,4,30,,‌
Lewis Dunk,CB,England,5,33,,‌
Jan Paul van Hecke,CB,Netherlands,6,25,,‌
Olivier Boscagli,CB,France,21,27,,‌
Diego Coppola,CB,Italy,42,21,,‌
Ferdi Kadioglu,"LB, RM",Türkiye,24,25,,‌
Maxim De Cuyper,LB,Belgium,29,24,,‌
Jack Hinshelwood,"DM, RB, CM, LB",England,13,20,,‌
Carlos Baleba,"DM, CM, CB",Cameroon,17,21,,‌
James Milner,DM,England,20,39,,‌
Diego Gomez,"DM, LW, CM, RW, RM, AM",Paraguay,25,22,,‌
Yasin Ayari,"DM, CM",Sweden,26,21,,‌
Georginio Rutter,"AM, ST, RM, RW",France,10,23,,‌
Solly March,RW,England,7,31,,‌
Brajan Gruda,"RW, RM, AM, ST",Germany,8,21,,‌
Yankuba Minteh,"RW, RM",Gambia,11,21,,‌
Harry Howell,"RW, AM, ST, RM",England,53,17,,‌
Tom Watson,"LW, RW, LM",England,14,19,,‌
Kaoru Mitoma,"LW, LM, LWB",Japan,22,28,,‌
Stefanos Tzimas,ST,Greece,9,19,,‌
Danny Welbeck,ST,England,18,34,,‌
