Player,Position,Country,Shirt,Age,Height,Market value 
Scott Parker,Coach,England,,44,,
Martin Dubravka,GK,Slovakia,1,36,,‌
Max Weiss,GK,Germany,13,21,,‌
Vaclav Hladky,GK,Czech Republic,32,34,,‌
Kyle Walker,"RB, CB, RWB",England,2,35,,‌
Axel Tuanzebe,"RB, CB",DR Congo,6,27,,‌
Connor Roberts,RB,Wales,14,30,,‌
Oliver Sonne,"RB, CM, RWB",Peru,22,24,,‌
Joe Worrall,CB,England,4,28,,‌
Maxime Estève,CB,France,5,23,,‌
Hjalmar Ekdal,CB,Sweden,18,26,,‌
Jordan Beyer,CB,Germany,36,25,,‌
Hannes Delcroix,CB,Haiti,44,26,,‌
Quilindschy Hartman,"LB, LWB",Netherlands,3,23,,‌
Bashir Humphreys,"LB, RB, CB",England,12,22,,‌
Lucas Pires,"LB, LWB",Brazil,23,24,,‌
Oliver Pimlott,LWB,England,54,18,,
Josh Cullen,"DM, CM",Ireland,24,29,,‌
Josh Laurent,"DM, CM, AM, CB",England,29,30,,‌
Lesley Ugochukwu,"CM, DM",France,8,21,,‌
Florentino,"CM, DM",Portugal,16,26,,‌
Marley Leuluai,CM,New Zealand,53,18,,
Mike Tresor,LM,Belgium,31,26,,‌
Hannibal Mejbri,"AM, LW, CM",Tunisia,28,22,,‌
Jacob Bruun Larsen,"RW, RM, ST",Denmark,7,27,,‌
Marcus Edwards,"RW, RM, LW",England,10,26,,‌
Loum Tchaouna,"RW, RM, ST",France,17,22,,‌
Zeki Amdouni,"RW, ST, AM",Switzerland,25,24,,‌
Jaidon Anthony,"LW, RW, LM",England,11,25,,‌
Jaydon Banel,LW,Netherlands,34,20,,‌
Lyle Foster,"ST, LW",South Africa,9,25,,‌
Zian Flemming,ST,Netherlands,19,27,,‌
Armando Broja,"ST, RW",Albania,27,24,,‌
Ashley Barnes,ST,England,35,35,,‌
Enock Agyei,ST,Belgium,48,20,,‌
