Player,Position,Country,Shirt,Age,Height,Market value 
Enzo Maresca,Coach,Italy,,45,,
Robert Sánchez,GK,Spain,1,27,,‌
Filip Jörgensen,GK,Denmark,12,23,,‌
Gabriel Slonina,GK,United States,44,21,,‌
Reece James,"RB, DM, LB",England,24,25,,‌
Malo Gusto,"RB, LB",France,27,22,,‌
Axel Disasi,"CB, RB",France,2,27,,‌
Tosin Adarabioyo,CB,England,4,28,,‌
Benoit Badiashile,CB,France,5,24,,‌
Levi Colwill,CB,England,6,22,,‌
Trevoh Chalobah,"CB, RB",England,23,26,,‌
Wesley Fofana,"CB, RB",France,29,24,,‌
Josh Acheampong,"CB, RB, LB",England,34,19,,‌
Marc Cucurella,LB,Spain,3,27,,‌
Jorrel Hato,"LB, CB",Netherlands,21,19,,‌
Enzo Fernández,"DM, AM, CM",Argentina,8,24,,‌
Dario Essugo,"DM, CM",Portugal,14,20,,‌
Andrey Santos,"DM, CM",Brazil,17,21,,‌
Moisés Caicedo,"DM, CM, RB",Ecuador,25,23,,‌
Romeo Lavia,DM,Belgium,45,21,,‌
Cole Palmer,"AM, RW",England,10,23,,‌
Alejandro Garnacho,"AM, LW, RW",Argentina,49,21,,‌
Raheem Sterling,"RW, LW",England,,30,,‌
Pedro Neto,"RW, LW, ST",Portugal,7,25,,‌
Facundo Buonanotte,"RW, AM",Argentina,40,20,,‌
Estevao,"RW, AM, ST",Brazil,41,18,,‌
Mykhaylo Mudryk,LW,Ukraine,,24,,‌
Jamie Gittens,"LW, AM",England,11,21,,‌
Tyrique George,"LW, ST, RW",England,32,19,,‌
Liam Delap,ST,England,9,22,,‌
Joao Pedro,"ST, AM",Brazil,20,24,,‌
Marc Guiu,ST,Spain,38,19,,‌
Shumaira Mheuka,"ST, LW",England,62,18,,‌
