Player,Position,Country,Shirt,Age,Height,Market value 
Oliver Glasner,Coach,Austria,,51,,
Dean Henderson,GK,England,1,28,,‌
Remi Matthews,GK,England,31,31,,‌
Walter Benitez,GK,Argentina,44,32,,‌
Maxence Lacroix,CB,France,5,25,,‌
Marc Guehi,CB,England,6,25,,‌
Nathaniel Clyne,CB,England,17,34,,‌
Jaydee Canvot,"CB, CM",France,23,19,,‌
Chris Richards,CB,United States,26,25,,‌
Naouirou Ahamada,CB,France,29,23,,‌
Chadi Riad,CB,Morocco,34,22,,‌
Daniel Munoz,"RWB, RB, RM",Colombia,2,29,,‌
Rio Cardines,"RWB, RB, LM",Trinidad and Tobago,59,19,,
Tyrick Mitchell,"LWB, LM",England,3,26,,‌
Daichi Kamada,"DM, AM, CM",Japan,18,29,,‌
Adam Wharton,"DM, CM",England,20,21,,‌
Kaden Rodney,"DM, CM",England,42,20,,‌
Jefferson Lerma,"CM, DM, CB",Colombia,8,30,,‌
Will Hughes,"CM, DM",England,19,30,,‌
Cheick Oumar Doucouré,CM,Mali,28,25,,‌
Yéremi Pino,"RM, AM, LM, LW",Spain,10,22,,‌
Caleb Kporha,"RM, RWB, RB",England,58,19,,‌
Borna Sosa,"LM, LB, LWB",Croatia,24,27,,‌
Ismaila Sarr,"AM, RW",Senegal,7,27,,‌
Justin Devenny,"AM, CM, LWB",Northern Ireland,55,21,,‌
Romain Esse,"RW, AM, LW",England,21,20,,‌
Edward Nketiah,"ST, AM",England,9,26,,‌
Christantus Uche,"ST, AM, LM",Nigeria,12,22,,‌
Jean-Philippe Mateta,ST,France,14,28,,‌
