Player,Position,Country,Shirt,Age,Height,Market value 
Daniel Farke,Coach,Germany,,48,,
Lucas Perri,GK,Brazil,1,27,,‌
Illan Meslier,GK,France,16,25,,‌
Alex Cairns,GK,England,21,32,,‌
Karl Darlow,GK,Wales,26,34,,‌
Jayden Bogle,RB,England,2,25,,‌
James Justin,"RB, RWB, LB",England,24,27,,‌
Ethan Ampadu,"CB, DM, CM",Wales,4,25,,‌
Pascal Struijk,CB,Netherlands,5,26,,‌
Joe Rodon,CB,Wales,6,27,,‌
Jaka Bijol,CB,Slovenia,15,26,,‌
Sebastiaan Bornauw,CB,Belgium,23,26,,‌
Gabriel Gudmundsson,"LB, CB",Sweden,3,26,,‌
Sam Byram,"LB, RB",England,25,32,,‌
Anton Stach,"DM, CM, CB",Germany,18,26,,‌
Ao Tanaka,"DM, CM, AM",Japan,22,27,,‌
Ilia Gruev,"DM, CM",Bulgaria,44,25,,‌
Sean Longstaff,CM,England,8,27,,‌
Brenden Aaronson,"AM, RW",United States,11,24,,‌
Daniel James,"RW, LW",Wales,7,27,,‌
Jack Harrison,"RW, LW",England,20,28,,‌
Wilfried Gnonto,"RW, LW, AM, ST",Italy,29,21,,‌
Noah Okafor,"LW, ST",Switzerland,19,25,,‌
Dominic Calvert-Lewin,ST,England,9,28,,‌
Joel Piroe,ST,Netherlands,10,26,,‌
Lukas Nmecha,ST,Germany,14,26,,‌
