Player,Position,Country,Shirt,Age,Height,Market value 
Pep Guardiola,Coach,Spain,,54,,
James Trafford,GK,England,1,22,,‌
Marcus Bettinelli,GK,England,13,33,,‌
Stefan Ortega,GK,Germany,18,32,,‌
Gianluigi Donnarumma,GK,Italy,25,26,,‌
Matheus Nunes,"RB, LW, DM",Portugal,27,27,,‌
Rico Lewis,"RB, DM, LB, RW",England,82,20,,‌
Ruben Dias,CB,Portugal,3,28,,‌
John Stones,CB,England,5,31,,‌
Nathan Aké,"CB, LB",Netherlands,6,30,,‌
Josko Gvardiol,"CB, LB",Croatia,24,23,,‌
Abdukodir Khusanov,"CB, RB",Uzbekistan,45,21,,‌
Nico O'Reilly,"LB, AM",England,33,20,,‌
Rayan Ait Nouri,"LWB, LB, LM, CB, LW",Algeria,21,24,,‌
Tijjani Reijnders,"DM, AM, CM",Netherlands,4,27,,‌
Mateo Kovacic,"DM, CM",Croatia,8,31,,‌
Nico González,"DM, CM, AM",Spain,14,23,,‌
Rodri,DM,Spain,16,29,,‌
Kalvin Phillips,"DM, CM",England,44,29,,‌
Bernardo Silva,"AM, RW, DM, CM",Portugal,20,31,,‌
Phil Foden,"AM, RW, LW, ST",England,47,25,,‌
Rayan Cherki,"RW, AM, ST, CM",France,10,22,,‌
Savinho,"RW, LW",Brazil,26,21,,‌
Oscar Bobb,RW,Norway,52,22,,‌
Jérémy Doku,"LW, RW",Belgium,11,23,,‌
Omar Marmoush,"ST, LW, AM, RW",Egypt,7,26,,‌
Erling Haaland,ST,Norway,9,25,,‌
