Player,Position,Country,Shirt,Age,Height,Market value 
Ange Postecoglou,Coach,Australia,,60,,
John Victor,GK,Brazil,13,29,,‌
Angus Gunn,GK,Scotland,18,29,,‌
Matz Sels,GK,Belgium,26,33,,‌
Ola Aina,"RB, LB, RWB, RM",Nigeria,34,28,,‌
Nicolo Savona,"RB, CB, LB",Italy,37,22,,‌
Morato,"CB, LB",Brazil,4,24,,‌
Murillo,CB,Brazil,5,23,,‌
Jair Cunha,"CB, RB",Brazil,23,20,,‌
Willy Boly,CB,Ivory Coast,30,34,,‌
Nikola Milenkovic,CB,Serbia,31,27,,‌
Zach Abbott,CB,England,44,19,,‌
Neco Williams,"LB, RB, LM, LWB",Wales,3,24,,‌
Oleksandr Zinchenko,"LB, AM, CM",Ukraine,35,28,,‌
Dilane Bakwa,"RWB, RW, RM, AM",France,29,23,,‌
Ibrahim Sangaré,"DM, CM",Ivory Coast,6,27,,‌
Elliot Anderson,"DM, CM, LW, AM",England,8,22,,‌
Douglas Luiz,"DM, AM",Brazil,12,27,,‌
Nicolás Dominguez,DM,Argentina,16,27,,‌
Ryan Yates,"DM, AM, CM",England,22,27,,‌
Morgan Gibbs-White,"AM, RW, CM",England,10,25,,‌
Omari Hutchinson,"AM, RW, LW, RM, LM",England,21,21,,‌
James McAtee,"AM, RW",England,24,22,,‌
Callum Hudson-Odoi,"LW, RW, LM",England,7,24,,‌
Dan Ndoye,"LW, RW, RM, ST",Switzerland,14,24,,‌
Taiwo Awoniyi,ST,Nigeria,9,28,,‌
Chris Wood,ST,New Zealand,11,33,,‌
Arnaud Kalimuendo-Muinga,"ST, AM",France,15,23,,‌
Igor Jesus,ST,Brazil,19,24,,‌
