Player,Position,Country,Shirt,Age,Height,Market value 
Regis Le Bris,Coach,France,,49,,
Anthony Patterson,GK,England,1,25,,‌
Blondy Nna Noukeu,GK,Cameroon,16,24,,‌
Simon Moore,GK,England,21,35,,‌
Robin Roefs,GK,Netherlands,22,22,,‌
Trai Hume,"RB, CB, LB",Northern Ireland,32,23,,‌
Daniel Ballard,CB,Northern Ireland,5,26,,‌
Lutsharel Geertruida,"CB, RB, RWB",Netherlands,6,25,,‌
Timothée Pembélé,"CB, LB",France,6,23,,‌
Luke O'Nien,"CB, RB",England,13,30,,‌
Omar Alderete,CB,Paraguay,15,28,,‌
Nordi Mukiele,"CB, RB",France,20,27,,‌
Joseph Anderson,CB,England,45,24,,‌
Dennis Cirkin,LB,England,3,23,,‌
Reinildo,"LB, CB, LWB",Mozambique,17,31,,‌
Arthur Masuaku,"LB, CB",DR Congo,26,31,,‌
Leo Hjelde,"LB, CB",Norway,33,22,,‌
Ajibola Alese,LB,England,42,24,,‌
Daniel Neil,"DM, CM",England,4,23,,‌
Jay Matete,"CM, DM",England,,24,,‌
Habib Diarra,"CM, AM, DM",Senegal,19,21,,‌
Noah Sadiki,"CM, DM, AM",DR Congo,27,20,,‌
Granit Xhaka,"CM, DM",Switzerland,34,33,,‌
Chris Rigg,"AM, CM, DM, ST, RM",England,11,18,,‌
Abdoullah Ba,"RW, LW",France,,22,,‌
Chemsdine Talbi,"RW, LW",Morocco,7,20,,‌
Bertrand Traoré,"RW, ST",Burkina Faso,25,30,,‌
Ian Poveda,RW,England,36,25,,‌
Enzo Le Fee,"LW, CM, LM, AM",France,28,25,,‌
Romaine Mundle,"LW, LM",England,14,22,,‌
Simon Adingra,"LW, RW, RM",Ivory Coast,24,23,,‌
Brian Brobbey,ST,Netherlands,9,23,,‌
Eliezer Mayenda,"ST, LW, RW, AM",Spain,12,20,,‌
Wilson Isidor,ST,France,18,25,,‌
Ahmed Abdullahi,ST,Nigeria,29,21,,‌
