Player,Position,Country,Shirt,Age,Height,Market value 
Thomas Frank,Coach,Denmark,,51,,
Guglielmo Vicario,GK,Italy,1,28,,‌
Antonin Kinsky,GK,Czech Republic,31,22,,‌
Brandon Austin,GK,England,40,26,,‌
Pedro Porro,"RB, RWB",Spain,23,26,,‌
Radu Dragusin,CB,Romania,3,23,,‌
Kevin Danso,CB,Austria,4,27,,‌
Archie Gray,"CB, RB, CM, DM, LB",England,14,19,,‌
Cristian Romero,CB,Argentina,17,27,,‌
Ben Davies,"CB, LB",Wales,33,32,,‌
Micky van de Ven,"CB, LB",Netherlands,37,24,,‌
Kota Takai,"CB, RWB",Japan,81,21,,‌
Destiny Udogie,"LB, LM",Italy,13,22,,‌
Djed Spence,"LB, RB",England,24,25,,‌
Joao Palhinha,"DM, CM",Portugal,6,30,,‌
Yves Bissouma,"CM, DM, RW",Mali,8,29,,‌
James Maddison,"CM, AM",England,10,28,,‌
Lucas Bergvall,"CM, DM, AM",Sweden,15,19,,‌
Pape Sarr,"CM, DM, AM",Senegal,29,23,,‌
Rodrigo Bentancur,"CM, DM",Uruguay,30,28,,‌
Xavi Simons,"AM, LW, LM, RW, CM",Netherlands,7,22,,‌
Dejan Kulusevski,"RW, AM, CM, ST",Sweden,21,25,,‌
Mohammed Kudus,"RW, ST, AM, LW",Ghana,20,25,,‌
Brennan Johnson,"RW, LW",Wales,22,24,,‌
Wilson Odobert,"RW, LW",France,28,20,,‌
Richarlison,"ST, LW",Brazil,9,28,,‌
Mathys Tel,"ST, LW",France,11,20,,‌
Dominic Solanke,ST,England,19,28,,‌
Randal Kolo Muani,ST,France,39,26,,‌
Dane Scarlett,ST,England,44,21,,‌
