Player,Position,Country,Shirt,Age,Height,Market value 
Nuno Espirito Santo,Coach,Portugal,,51,,
Mads Hermansen,GK,Denmark,1,25,,‌
Lukasz Fabianski,GK,Poland,22,40,,‌
Alphonse Areola,GK,France,23,32,,‌
Krisztian Hegyi,GK,Hungary,47,23,,‌
Aaron Wan-Bissaka,"RB, RWB, RM, LB, LWB",DR Congo,29,27,,‌
Max Kilman,CB,England,3,28,,‌
Igor Julio,"CB, LB",Brazil,5,27,,‌
Konstantinos Mavropanos,CB,Greece,15,27,,‌
Jean-Clair Todibo,CB,France,25,25,,‌
Kyle Walker-Peters,"RWB, RB, LWB, CB, LB, LM, RM",England,2,28,,‌
Malick Diouf,"LWB, LM, LB, RM",Senegal,12,20,,‌
Oliver Scarles,"LWB, LM, LB, LW",England,30,19,,‌
James Ward-Prowse,"DM, CM",England,8,30,,‌
Guido Rodriguez,"DM, CM",Argentina,24,31,,‌
Soungoutou Magassa,"DM, CM, CB",France,27,21,,‌
Tomas Soucek,"DM, CM, AM",Czech Republic,28,30,,‌
Freddie Potts,"DM, CM",England,32,22,,‌
Mohamadou Kante,DM,France,55,20,,‌
Andy Irving,CM,Scotland,39,25,,‌
Lucas Paquetá,"AM, CM, DM, RW, ST, LW",Brazil,10,28,,‌
Luis Guilherme,AM,Brazil,17,19,,‌
Mateus Fernandes,"AM, CM, LM, DM",Portugal,18,21,,‌
George Earthy,"AM, RM",England,40,21,,‌
Crysencio Summerville,LW,Netherlands,7,23,,‌
Callum Wilson,ST,England,9,33,,‌
Niclas Füllkrug,ST,Germany,11,32,,‌
Jarrod Bowen,"ST, RW, AM",England,20,28,,‌
Callum Marshall,"ST, RW, AM",Northern Ireland,50,20,,‌
