Player,Position,Country,Shirt,Age,Height,Market value 
Vitor Pereira,Coach,Portugal,,57,,
José Sá,GK,Portugal,1,32,,‌
Daniel Bentley,GK,England,25,32,,‌
Sam Johnstone,GK,England,31,32,,‌
Matt Doherty,"CB, RB, RWB",Ireland,2,33,,‌
Santiago Bueno,CB,Uruguay,4,26,,‌
Emmanuel Agbadou,CB,Ivory Coast,12,28,,‌
Yerson Mosquera,CB,Colombia,15,24,,‌
Toti Gomes,CB,Portugal,24,26,,‌
Ladislav Krejci,"CB, LB",Czech Republic,37,26,,‌
Hugo Bueno,"LB, LWB",Spain,3,23,,‌
David Møller Wolfe,"LB, LM",Norway,6,23,,‌
Ki-Jana Hoever,"RWB, RM",Netherlands,26,23,,‌
Jackson Tchatchoua,"RWB, RB, RM, LWB",Cameroon,38,24,,‌
Rodrigo Gomes,"LWB, RWB, LW",Portugal,21,22,,‌
Andre,"DM, CM",Brazil,7,24,,‌
Joao Gomes,"CM, DM, AM",Brazil,8,24,,‌
Marshall Munetsi,"AM, CM, DM, RW, ST",Zimbabwe,5,29,,‌
Tawanda Chirewa,"AM, LW, LM, ST",Zimbabwe,23,21,,‌
Jean-Ricner Bellegarde,"AM, CM, RW, DM, LW",Haiti,27,27,,‌
Fer Lopez,"AM, RW, ST",Spain,28,21,,‌
Enso Gonzalez,AM,Paraguay,30,20,,‌
Jhon Arias,"RW, AM, CM, LW, ST",Colombia,10,28,,‌
Hee-Chan Hwang,"LW, ST, AM",South Korea,11,29,,‌
Nathan Fraser,ST,England,,20,,‌
Jørgen Strand Larsen,ST,Norway,9,25,,‌
Tolu Arokodare,ST,Nigeria,14,24,,‌
