Team,Location,Stadium,Capacity,Code
Arsenal,London (Holloway),Emirates Stadium,60704,ARS
Aston Villa,Birmingham,Villa Park,43205,AVL
Bournemouth,Bournemouth,Dean Court,11307,BOU
Brentford,London (Brentford),Brentford Community Stadium,17250,BRE
Brighton & Hove Albion,Falmer,Falmer Stadium,31876,BHA
Burnley,Burnley,Turf Moor,21990,BUR
Chelsea,London (Fulham),Stamford Bridge,40044,CHE
Crystal Palace,London (Selhurst),Selhurst Park,25194,CRY
Everton,Liverpool (Vauxhall),Hill Dickinson Stadium,52769,EVE
Fulham,London (Fulham),Craven Cottage,27782,FUL
Leeds United,Leeds,Elland Road,37645,LEE
Liverpool,Liverpool (Anfield),Anfield,61276,LIV
Manchester City,Manchester,City of Manchester Stadium,52900,MCI
Manchester United,Manchester (Trafford),Old Trafford,74244,MUN
Newcastle United,Newcastle upon Tyne,St James' Park,52264,NEW
Nottingham Forest,West Bridgford,City Ground,30404,NFO
Sunderland,Sunderland,Stadium of Light,48095,SUN
Tottenham Hotspur,London (Tottenham),Tottenham Hotspur Stadium,62850,TOT
West Ham United,London (Stratford),London Stadium,62500,WHU
Wolverhampton Wanderers,Wolverhampton,Molineux Stadium,31750,WOL
